codigo;descripcion;color;empaque;imagen;linea
14MM;"\""05308\"",\n \""descripcion\"": \""BUJIA NGK BP7HSA";;;;5663
CORTA;"\""descripcion\"": \""BUJIA NGK BP7HSA 14MM";;;;5663
NGK;"{\n \""codigo\"": \""04349\"",\n \""descripcion\"": \""BUJIA";;;;5663
C7HSA;"\""codigo\"": \""04349\"",\n \""descripcion\"": \""BUJIA NGK";;;;5663
10MM;"\""04349\"",\n \""descripcion\"": \""BUJIA NGK C7HSA";;;;5663
NGK;"{\n \""codigo\"": \""04410\"",\n \""descripcion\"": \""BUJIA";;;;5663
CR8E;"\""codigo\"": \""04410\"",\n \""descripcion\"": \""BUJIA NGK";;;;5663
10MM;"\""04410\"",\n \""descripcion\"": \""BUJIA NGK CR8E";;;;5663
VOLANTE;"{\n \""codigo\"": \""02953\"",\n \""descripcion\"": \""EXTRACTOR";;;;5823
VOLANTE;"{\n \""codigo\"": \""05225\"",\n \""descripcion\"": \""EXTRACTOR";;;;5823
PULSAR;"\""codigo\"": \""05225\"",\n \""descripcion\"": \""EXTRACTOR VOLANTE";;;;5823
VOLANTE;"{\n \""codigo\"": \""05226\"",\n \""descripcion\"": \""EXTRACTOR";;;;5823
BOXER;"\""codigo\"": \""05226\"",\n \""descripcion\"": \""EXTRACTOR VOLANTE";;;;5823
RETENES;"{\n \""codigo\"": \""05227\"",\n \""descripcion\"": \""EXTRACTOR";;;;5823
TORRE;"{\n \""codigo\"": \""01497\"",\n \""descripcion\"": \""COPA";;;;5823
DOS;"\""codigo\"": \""01497\"",\n \""descripcion\"": \""COPA TORRE";;;;5823
TORRE;"{\n \""codigo\"": \""05238\"",\n \""descripcion\"": \""COPA";;;;5823
VOLANTE;"\""GS/ECO DE LUXE/LIBERO\"",\n \""descripcion\"": \""EXTRACTOR";;;;5811
VOLANTE;"\""codigo\"": \""PULSAR 200NS\"",\n \""descripcion\"": \""EXTRACTOR";;;;5811
PULSAR;"\""PULSAR 200NS\"",\n \""descripcion\"": \""EXTRACTOR VOLANTE";;;;5811
VOLANTE;"\""codigo\"": \""BOXER BM150\"",\n \""descripcion\"": \""EXTRACTOR";;;;5811
BOXER;"\""BOXER BM150\"",\n \""descripcion\"": \""EXTRACTOR VOLANTE";;;;5811
AKT110;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;5815
DTK;/RX/KW/;;;;5819
C100;"\"",\n  \""descripcion\"": \""EXTRACTOR\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [],\n  \""variantes\"": []\n}\n```""";;;;5815
1496;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;5819
AKT110;"\"",\n  \""descripcion\"": \""EXTRACTOR";;;;5819
C100;"\"",\n  \""precio\"": \""";;;;5819
14941;"\"",\n  \""empaque\"": \""X1\"",\n  \""fotos\"": [\""foto\""],\n  \""variantes\"": []\n}\n```""";;;;5819
QUALITY;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""logo_arm.png\""],\n  \""variantes\"": []\n}\n```""";;;;13879
VOLANTE;"{\n \""codigo\"": \""02620\"",\n \""descripcion\"": \""EXTRACTOR";;;;5875
BUJE;"{\n \""codigo\"": \""01495\"",\n \""descripcion\"": \""EXTRACTOR";;;;5875
TIJERA;"\""codigo\"": \""01495\"",\n \""descripcion\"": \""EXTRACTOR BUJE";;;;5875
PRENSA;"\""codigo\"": \""03697\"",\n \""descripcion\"": \""LLAVE SUJETADORA";;;;5875
PRENSA;"\""codigo\"": \""05228\"",\n \""descripcion\"": \""LLAVE SUJETADORA";;;;5875
PRENSA;"\""codigo\"": \""03440\"",\n \""descripcion\"": \""LLAVE SUJETADORA";;;;5875
TIPO;"\""descripcion\"": \""HERRAMIENTA AJUSTE/CALIBRE DE CARBURADOR";;;;5943
VOLANTE;"\""codigo\"": \""03414\"",\n \""descripcion\"": \""EXTRACTOR DE";;;;5943
FEI;"\""descripcion\"": \""SET EXTRACTOR DE BALINERAS";;;;5943
BASICA;"\""codigo\"": \""05239\"",\n \""descripcion\"": \""SET HERRAMIENTA";;;;5943
PARA;"\""05239\"",\n \""descripcion\"": \""SET HERRAMIENTA BASICA";;;;5943
AIRE;"\""codigo\"": \""03415\"",\n \""descripcion\"": \""ACOPLE DE";;;;5943
GRANDE;"\""03415\"",\n \""descripcion\"": \""ACOPLE DE AIRE";;;;5943
AIRE;"\""codigo\"": \""03416\"",\n \""descripcion\"": \""ACOPLE DE";;;;5943
AJUSTE;"""raw"": ""```json\n[\n  {\n    \""codigo\"": \""\"",\n    \""descripcion\"": \""HERRAMIENTA";;;;5939
CALIBRE;/;;;;5939
TIPO;DE CARBURADOR;;;;5939
VOLANTE;"L\"",\n    \""precio\"": \""\"",\n    \""empaque\"": \""\"",\n    \""fotos\"": [],\n    \""variantes\"": []\n  },\n  {\n    \""codigo\"": \""\"",\n    \""descripcion\"": \""EXTRACTOR DE";;;;5939
XLR;XL/;;;;5939
AKT125;/;;;;5939
SET;"TT\"",\n    \""precio\"": \""\"",\n    \""empaque\"": \""\"",\n    \""fotos\"": [],\n    \""variantes\"": []\n  },\n  {\n    \""codigo\"": \""\"",\n    \""descripcion\"": \""";;;;5939
FEI;EXTRACTOR DE BALINERAS;;;;5939
CHI;"\"",\n    \""precio\"": \""\"",\n    \""empaque\"": \""\"",\n    \""fotos\"": [],\n    \""variantes\"": []\n  }\n]\n```""";;;;5939
TUERCA;"\""codigo\"": \""02675\"",\n \""descripcion\"": \""LLAVE SOSTENEDOR";;;;6003
TORNILLO;"\""descripcion\"": \""LLAVE SOSTENEDOR TUERCA Y";;;;6003
BALANCIN;"\""LLAVE SOSTENEDOR TUERCA Y TORNILLO";;;;6003
2675;Y TORNILLO BALANCIN 9 MM;;;;6003
10MM;TORNILLO BALANCIN 9 MM 02675;;;;6003
TUERCA;"\""codigo\"": \""02952\"",\n \""descripcion\"": \""LLAVE T";;;;6003
BALANCIN;"\""02952\"",\n \""descripcion\"": \""LLAVE T TUERCA";;;;6003
PARA;"\""codigo\"": \""02513\"",\n \""descripcion\"": \""KIT HERRAMIENTA";;;;6003
ASENTAR;"\""02513\"",\n \""descripcion\"": \""KIT HERRAMIENTA PARA";;;;6003
7MM;"\""codigo\"": \""01849\"",\n \""descripcion\"": \""COPA EXTENCION";;;;6003
1847;"\""01849\"",\n \""descripcion\"": \""COPA EXTENCION 7MM";;;;6003
8MM;"\""descripcion\"": \""COPA EXTENCION 7MM 01847";;;;6003
1848;"\""COPA EXTENCION 7MM 01847 8MM";;;;6003
10MM;EXTENCION 7MM 01847 8MM 01848;;;;6003
1849;7MM 01847 8MM 01848 10MM;;;;6003
12MM;01847 8MM 01848 10MM 01849;;;;6003
1850;8MM 01848 10MM 01849 12MM;;;;6003
13MM;01848 10MM 01849 12MM 01850;;;;6003
LLANTAS;"\""02634\"",\n \""descripcion\"": \""PALANCA DESMONTADORA DE";;;;6003
1852;"""raw"": ""```json\n[\n  {\n    \""codigo\"": \""";;;;5959
COPA;"\"",\n    \""descripcion\"": \""";;;;5959
14MM;EXTENCION;;;;5959
2450;"\"",\n    \""precio\"": \""";;;;5959
2634;"\"",\n    \""empaque\"": \""X1\"",\n    \""fotos\"": [\""copa_extencion_14mm.jpg\""],\n    \""variantes\"": []\n  },\n  {\n    \""codigo\"": \""";;;;5959
PALANCA;"\"",\n    \""descripcion\"": \""";;;;5959
LLANTAS;DESMONTADORA DE;;;;5959
25CM;"\"",\n    \""precio\"": \""";;;;5959
3082;"\"",\n    \""empaque\"": \""X1\"",\n    \""fotos\"": [\""palanca_desmontadora_llantas_25cm.jpg\""],\n    \""variantes\"": []\n  }\n]\n```""";;;;5959
TUERCA;"MM 02675\"",\n \""descripcion\"": \""LLAVE SOSTENEDOR";;;;5999
LLANTAS;"\""05230\"",\n \""descripcion\"": \""PALANCA DESMONTADORA DE";;;;6007
LLANTAS;"\""05231\"",\n \""descripcion\"": \""PALANCA DESMONTADORA DE";;;;6007
PARA;"{\n \""codigo\"": \""03698\"",\n \""descripcion\"": \""PISTOLA";;;;6039
AIRE;"\""codigo\"": \""02808\"",\n \""descripcion\"": \""CALIBRADOR DE";;;;6039
TIPO;"\""02808\"",\n \""descripcion\"": \""CALIBRADOR DE AIRE";;;;6039
PIEDEREY;"\""codigo\"": \""03067\"",\n \""descripcion\"": \""CALIBRADOR Y/O";;;;6039
MARCA;"\""03067\"",\n \""descripcion\"": \""CALIBRADOR Y/O PIEDEREY";;;;6039
HGL;"\""descripcion\"": \""CALIBRADOR Y/O PIEDEREY MARCA";;;;6039
LEI;"""raw"": ""```json\n{\n  \""codigo\"": \""15.";;;;6031
CHI;"\"",\n  \""descripcion\"": \""\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""imagen1\""],\n  \""variantes\"": []\n}\n```""";;;;6027
CHI;"\"",\n  \""descripcion\"": \""\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\n    \""image1.jpg\"",\n    \""image2.jpg\"",\n    \""image3.jpg\""\n  ],\n  \""variantes\"": []\n}\n```""";;;;6031
PARA;"{\n \""codigo\"": \""DG-10\"",\n \""descripcion\"": \""PISTOLA";;;;6035
LLANTAS;"\""codigo\"": \""05230\"",\n \""descripcion\"": \""PALANCA DESMONTADORA";;;;6039
LLANTAS;"\""codigo\"": \""05231\"",\n \""descripcion\"": \""PALANCA DESMONTADORA";;;;6039
PIEDEREY;"\""codigo\"": \""04208\"",\n \""descripcion\"": \""CALIBRADOR Y/O";;;;6091
DIGITAL;"\""04208\"",\n \""descripcion\"": \""CALIBRADOR Y/O PIEDEREY";;;;6091
GRANDE;"{\n \""codigo\"": \""04214\"",\n \""descripcion\"": \""EMBUDO";;;;6091
CON;"\""codigo\"": \""04214\"",\n \""descripcion\"": \""EMBUDO GRANDE";;;;6091
ACEITE;"\""descripcion\"": \""EMBUDO GRANDE CON EXTENCION";;;;6091
DIGITAL;"""raw"": ""```json\n{\n  \""codigo\"": \""\"",\n  \""descripcion\"": \""ELECTRONIC";;;;6079
CALIPER;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""image1\""],\n  \""variantes\"": []\n}\n```""";;;;6079
150MM;"""raw"": ""```json\n{\n  \""codigo\"": \""0";;;;6087
PIEDEREY;"\"",\n  \""descripcion\"": \""CALIBRADOR Y/O";;;;6087
DIGITAL;0;;;;6087
150MM;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""imagen1.jpg\""],\n  \""variantes\"": []\n}\n```""";;;;6087
BRISTOL;"{\n \""codigo\"": \""04218\"",\n \""descripcion\"": \""LLAVE";;;;6151
BRISTOL;"{\n \""codigo\"": \""04219\"",\n \""descripcion\"": \""LLAVE";;;;6151
BRISTOL;"{\n \""codigo\"": \""04220\"",\n \""descripcion\"": \""LLAVE";;;;6151
BRISTOL;"{\n \""codigo\"": \""04221\"",\n \""descripcion\"": \""LLAVE";;;;6151
LLAVES;"{\n \""codigo\"": \""04568\"",\n \""descripcion\"": \""SET";;;;6151
TIPO;"\""04568\"",\n \""descripcion\"": \""SET LLAVES BRISTOL/HALLEN";;;;6151
NAVAJA;"\""descripcion\"": \""SET LLAVES BRISTOL/HALLEN TIPO";;;;6151
LLAVES;"{\n \""codigo\"": \""04569\"",\n \""descripcion\"": \""SET";;;;6151
TORX;"\""codigo\"": \""04569\"",\n \""descripcion\"": \""SET LLAVES";;;;6151
TIPO;"\""04569\"",\n \""descripcion\"": \""SET LLAVES TORX";;;;6151
NAVAJA;"\""descripcion\"": \""SET LLAVES TORX TIPO";;;;6103
CLUTCH;"{\n \""codigo\"": \""03599\"",\n \""descripcion\"": \""SUJETADOR";;;;6151
CLUTCH;"""```json\n{\n \""codigo\"": \""03599\"",\n \""descripcion\"": \""SUJETADOR";;;;6119
BESTIR;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;6139
2100;"\"",\n  \""descripcion\"": \""\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""imagen1\""],\n  \""variantes\"": []\n}\n```""";;;;6139
LLAVES;"{\n \""codigo\"": \""Z9904\"",\n \""descripcion\"": \""SET";;;;6147
TIPO;"\""Z9904\"",\n \""descripcion\"": \""SET LLAVES BRISTOL/HALLEN";;;;6147
TORX;"\""codigo\"": \""Z9904\"",\n \""descripcion\"": \""SET LLAVES";;;;6147
TIPO;"\""Z9904\"",\n \""descripcion\"": \""SET LLAVES TORX";;;;6147
CRANK;"{\n \""codigo\"": \""02906\"",\n \""descripcion\"": \""CAUCHO";;;;6171
PATADA;"\""codigo\"": \""02906\"",\n \""descripcion\"": \""CAUCHO CRANK";;;;6159
PALANCA;"{\n \""codigo\"": \""03349\"",\n \""descripcion\"": \""CAUCHO";;;;6171
MOFLE;"{\n \""codigo\"": \""04736\"",\n \""descripcion\"": \""DONA";;;;6171
AKT;"\""descripcion\"": \""DONA MOFLE AX /";;;;6171
MOFLE;"{\n \""codigo\"": \""04737\"",\n \""descripcion\"": \""DONA";;;;6171
MOFLE;"{\n \""codigo\"": \""04920\"",\n \""descripcion\"": \""DONA";;;;6171
MOFLE;"{\n \""codigo\"": \""04486\"",\n \""descripcion\"": \""DONA";;;;6171
TIPO;"\""codigo\"": \""04486\"",\n \""descripcion\"": \""DONA MOFLE";;;;6171
LLANTA;"\""04486\"",\n \""descripcion\"": \""DONA MOFLE TIPO";;;;6171
PLACA;"{\n \""codigo\"": \""04782\"",\n \""descripcion\"": \""PORTA";;;;6171
PASTA;"\""04782\"",\n \""descripcion\"": \""PORTA PLACA EN";;;;6171
LUJO;"\""PORTA PLACA EN PASTA DE";;;;6171
PLACA;"{\n \""codigo\"": \""05407\"",\n \""descripcion\"": \""PORTA";;;;6171
PLACA;"{\n \""codigo\"": \""05408\"",\n \""descripcion\"": \""PORTA";;;;6171
CRYPTON;"\""codigo\"": \""05408\"",\n \""descripcion\"": \""PORTA PLACA";;;;6171
PLACA;"{\n \""codigo\"": \""05409\"",\n \""descripcion\"": \""PORTA";;;;6171
PLACA;"{\n \""codigo\"": \""05410\"",\n \""descripcion\"": \""PORTA";;;;6171
PLACA;"{\n \""codigo\"": \""05411\"",\n \""descripcion\"": \""PORTA";;;;6171
PLACA;"{\n \""codigo\"": \""05412\"",\n \""descripcion\"": \""PORTA";;;;6171
PLACA;"{\n \""codigo\"": \""05413\"",\n \""descripcion\"": \""PORTA";;;;6171
PLACA;"{\n \""codigo\"": \""05415\"",\n \""descripcion\"": \""PORTA";;;;6171
PLACA;"{\n \""codigo\"": \""05416\"",\n \""descripcion\"": \""PORTA";;;;6171
VOLANTE;"\""codigo\"": \""02640\"",\n \""descripcion\"": \""SOSTENEDOR DE";;;;6259
VOLANTE;"\""codigo\"": \""03693\"",\n \""descripcion\"": \""SOSTENEDOR DE";;;;6259
LONA;"\""descripcion\"": \""SOSTENEDOR DE VOLANTE UNIVERSAL";;;;6259
COPA;"{\n \""codigo\"": \""02631\"",\n \""descripcion\"": \""LLAVE";;;;6259
COPA;"{\n \""codigo\"": \""02769\"",\n \""descripcion\"": \""LLAVE";;;;6259
COPA;"{\n \""codigo\"": \""02632\"",\n \""descripcion\"": \""LLAVE";;;;6259
BUJE;"{\n \""codigo\"": \""02619\"",\n \""descripcion\"": \""EXTRACTOR";;;;6259
PISTON;"\""codigo\"": \""02619\"",\n \""descripcion\"": \""EXTRACTOR BUJE";;;;6259
PARA;"\""codigo\"": \""02642\"",\n \""descripcion\"": \""PRENSA INSTALADORA";;;;6259
LLAVE;"""raw"": ""```json\n{\n  \""codigo\"": \""\"",\n  \""descripcion\"": \""";;;;6287
COPA;L;;;;6287
8MM;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [],\n  \""variantes\"": []\n}\n```""";;;;6215
VOLANTE;"""raw"": ""```json\n{\n  \""codigo\"": \""\"",\n  \""descripcion\"": \""SOSTENEDOR DE";;;;6255
CINTA;UNIVERSAL EN;;;;6255
VOLANTE;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [],\n  \""variantes\"": [\n    {\n      \""descripcion\"": \""SOSTENEDOR DE";;;;6255
LONA;UNIVERSAL;;;;6255
VERDE;"\""\n    }\n  ]\n}\n```""";;;;6255
10MM;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [],\n  \""variantes\"": []\n}\n```""";;;;6287
SCOOTER;"\""05240\"",\n \""descripcion\"": \""EXTRACTOR ENGRANAJE CIGÜEÑAL";;;;6299
GY6;"\""descripcion\"": \""EXTRACTOR ENGRANAJE CIGÜEÑAL SCOOTER";;;;6299
LINK;"\""EXTRACTOR ENGRANAJE CIGÜEÑAL SCOOTER GY6";;;;6299
VIDEO;ENGRANAJE CIGÜEÑAL SCOOTER GY6 LINK;;;;6299
BUJIA;"{\n \""codigo\"": \""02717\"",\n \""descripcion\"": \""LLAVE";;;;6339
10MM;"\""codigo\"": \""02717\"",\n \""descripcion\"": \""LLAVE BUJIA";;;;6339
BUJIA;"{\n \""codigo\"": \""01499\"",\n \""descripcion\"": \""LLAVE";;;;6339
10MM;"\""codigo\"": \""01499\"",\n \""descripcion\"": \""LLAVE BUJIA";;;;6339
BUJIA;"{\n \""codigo\"": \""02718\"",\n \""descripcion\"": \""LLAVE";;;;6339
12MM;"\""codigo\"": \""02718\"",\n \""descripcion\"": \""LLAVE BUJIA";;;;6339
BUJIA;"{\n \""codigo\"": \""05323\"",\n \""descripcion\"": \""LLAVE";;;;6339
13MM;"\""codigo\"": \""05323\"",\n \""descripcion\"": \""LLAVE BUJIA";;;;6339
BUJIA;"{\n \""codigo\"": \""02719\"",\n \""descripcion\"": \""LLAVE";;;;6339
14MM;"\""codigo\"": \""02719\"",\n \""descripcion\"": \""LLAVE BUJIA";;;;6339
SCOOTER;"\""05240\"",\n \""descripcion\"": \""EXTRACTOR ENGRAJAJE CIGÜEÑAL";;;;6339
GY6;"\""descripcion\"": \""EXTRACTOR ENGRAJAJE CIGÜEÑAL SCOOTER";;;;6339
LINK;"\""EXTRACTOR ENGRAJAJE CIGÜEÑAL SCOOTER GY6";;;;6339
VIDEO;ENGRAJAJE CIGÜEÑAL SCOOTER GY6 LINK;;;;6339
BUJIA;"{\n \""codigo\"": \""04634\"",\n \""descripcion\"": \""LLAVE";;;;6371
CON;"\""LLAVE BUJIA T 16-21 MM";;;;6411
COPA;"{\n \""codigo\"": \""02624\"",\n \""descripcion\"": \""LLAVE";;;;6371
8MM;"\""02624\"",\n \""descripcion\"": \""LLAVE COPA T";;;;6371
2623;"\""descripcion\"": \""LLAVE COPA T 8MM";;;;6411
2624;T 8MM 02623 10 MM;;;;6411
3417;10 MM 02624 12 MM;;;;6411
14MM;MM 02624 12 MM 03417;;;;6411
LARGA;"\""codigo\"": \""04597\"",\n \""descripcion\"": \""LLAVE T";;;;6371
LARGA;"\""codigo\"": \""04598\"",\n \""descripcion\"": \""LLAVE T";;;;6371
PARA;"\""codigo\"": \""03275\"",\n \""descripcion\"": \""LLAVE T";;;;6371
150MM;"\""03280\"",\n \""descripcion\"": \""EXTRACTOR DE UÑA";;;;6371
CON;"\""codigo\"": \""03173\"",\n \""descripcion\"": \""ANTENA EXTENSION";;;;6371
LARGA;"\""codigo\"": \""\"",\n \""descripcion\"": \""LLAVE T";;;;6395
BUJIA;"""raw"": ""```json\n{\n \""codigo\"": \""LLAVE";;;;6411
COPA;"MM CON EXTENCION\"",\n \""descripcion\"": \""LLAVE";;;;6411
8MM;"EXTENCION\"",\n \""descripcion\"": \""LLAVE COPA T";;;;6411
4518;02624 12 MM 03417 14MM;;;;6411
LLAVE;12 MM 03417 14MM 04518;;;;6411
LARGA;03417 14MM 04518 LLAVE T;;;;6411
CARCAZAS;"{\n \""codigo\"": \""02641\"",\n \""descripcion\"": \""SEPARADOR";;;;6459
BALINERA;"{\n \""codigo\"": \""03420\"",\n \""descripcion\"": \""INSTALADOR";;;;6459
ALEN;"{\n \""codigo\"": \""04646\"",\n \""descripcion\"": \""LLAVE";;;;6459
MANGO;"\""descripcion\"": \""LLAVE ALEN 4 MM";;;;6479
ALEN;"{\n \""codigo\"": \""04647\"",\n \""descripcion\"": \""LLAVE";;;;6459
MANGO;"\""descripcion\"": \""LLAVE ALEN 5 MM";;;;6479
ALEN;"{\n \""codigo\"": \""04648\"",\n \""descripcion\"": \""LLAVE";;;;6459
MANGO;"\""descripcion\"": \""LLAVE ALEN 6 MM";;;;6479
FRESAS;"{\n \""codigo\"": \""04269\"",\n \""descripcion\"": \""SET";;;;6459
PIMPOLLO;"\""codigo\"": \""04269\"",\n \""descripcion\"": \""SET FRESAS";;;;6459
DT9205A;"\""codigo\"": \""03423\"",\n \""descripcion\"": \""TESTER DIGITALAMARILLO";;;;6459
19CM;"\""descripcion\"": \""TESTER DIGITALAMARILLO DT9205A DIMENSION";;;;6459
DIGITAL;"{\n \""codigo\"": \""03802\"",\n \""descripcion\"": \""TESTER";;;;6459
LUZ;"\""codigo\"": \""03802\"",\n \""descripcion\"": \""TESTER DIGITAL";;;;6459
LED;"\""03802\"",\n \""descripcion\"": \""TESTER DIGITAL LUZ";;;;6459
AZUL;"\""descripcion\"": \""TESTER DIGITAL LUZ LED";;;;6459
17CM;DIGITAL LUZ LED AZUL VC-205A;azul;;;6459
CARCAZAS;"""raw"": ""```json\n{\n  \""codigo\"": \""\"",\n  \""descripcion\"": \""SEPARADOR";;;;6451
MOTOR;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [],\n  \""variantes\"": []\n}\n```""";;;;6451
ALEN;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""LLAVE";;;;6479
ALEN;"{\n \""codigo\"": \""\"",\n \""descripcion\"": \""LLAVE";;;;6479
BALINERA;"""```json\n{\n \""codigo\"": \""\"",\n \""descripcion\"": \""INSTALADOR";;;;6499
CREMA;"\""codigo\"": \""04631\"",\n \""descripcion\"": \""SOLDADURA +";;;;6543
ROLLAE;"\""codigo\"": \""04632\"",\n \""descripcion\"": \""SOLDADURA ESTAÑO";;;;6543
LLO;"\""04632\"",\n \""descripcion\"": \""SOLDADURA ESTAÑO ROLLAE";;;;6543
GRANDE;"\""descripcion\"": \""SOLDADURA ESTAÑO ROLLAE LLO";;;;6543
METALICA;"{\n \""codigo\"": \""03426\"",\n \""descripcion\"": \""ACEITERA";;;;6543
500;"\""codigo\"": \""03426\"",\n \""descripcion\"": \""ACEITERA METALICA";;;;6543
MINI;"{\n \""codigo\"": \""03427\"",\n \""descripcion\"": \""ACEITERA";;;;6543
METALICA;"\""codigo\"": \""03427\"",\n \""descripcion\"": \""ACEITERA MINI";;;;6543
250;"\""03427\"",\n \""descripcion\"": \""ACEITERA MINI METALICA";;;;6543
MINI;"{\n \""codigo\"": \""04593\"",\n \""descripcion\"": \""ACEITERA";;;;6543
METALICA;"\""codigo\"": \""04593\"",\n \""descripcion\"": \""ACEITERA MINI";;;;6543
250;"\""04593\"",\n \""descripcion\"": \""ACEITERA MINI METALICA";;;;6543
MINI;"""```json\n{\n \""codigo\"": \""04593\"",\n \""descripcion\"": \""ACEITERA";;;;6523
ROSIN;"""```json\n{\n \""codigo\"": \""NO.006\"",\n \""descripcion\"": \""SOLDER";;;;6535
CORE;"\""codigo\"": \""NO.006\"",\n \""descripcion\"": \""SOLDER ROSIN";;;;6535
CREMA;"""```json\n[\n {\n \""codigo\"": \""SOLDADURA +";;;;6539
CREMA;"ESTAÑO MEDIANO\"",\n \""descripcion\"": \""SOLDADURA +";;;;6539
ROLLAVE;"},\n {\n \""codigo\"": \""SOLDADURA ESTAÑO";;;;6539
LLO;"{\n \""codigo\"": \""SOLDADURA ESTAÑO ROLLAVE";;;;6539
ROLLAVE;"LLO GRANDE\"",\n \""descripcion\"": \""SOLDADURA ESTAÑO";;;;6539
LLO;"GRANDE\"",\n \""descripcion\"": \""SOLDADURA ESTAÑO ROLLAVE";;;;6539
MINI;"[]\n },\n {\n \""codigo\"": \""ACEITERA";;;;6539
MINI;"\""ACEITERA MINI METALICA\"",\n \""descripcion\"": \""ACEITERA";;;;6539
CADENA;"{\n \""codigo\"": \""02635\"",\n \""descripcion\"": \""CORTA";;;;6571
PRACTICO;"\""codigo\"": \""02635\"",\n \""descripcion\"": \""CORTA CADENA";;;;6571
CALIDAD;"\""descripcion\"": \""CORTA CADENA PRACTICO 420-428-428H";;;;6571
CADENA;"{\n \""codigo\"": \""03428\"",\n \""descripcion\"": \""CORTA";;;;6571
CADENA;"{\n \""codigo\"": \""03429\"",\n \""descripcion\"": \""CORTA";;;;6571
MEDIANO;"\""codigo\"": \""03429\"",\n \""descripcion\"": \""CORTA CADENA";;;;6571
CALIDAD;"\""descripcion\"": \""CORTA CADENA MEDIANO 420-428-428H-520H-530";;;;6571
CADENA;"{\n \""codigo\"": \""04216\"",\n \""descripcion\"": \""CORTA";;;;6571
GRANDE;"\""codigo\"": \""04216\"",\n \""descripcion\"": \""CORTA CADENA";;;;6571
METALICA;"""```json\n{\n \""codigo\"": \""04594\"",\n \""descripcion\"": \""ACEITERA";;;;6587
300;"\""codigo\"": \""04594\"",\n \""descripcion\"": \""ACEITERA METALICA";;;;6587
OIL;"""raw"": ""```json\n{\n  \""codigo\"": \""300g\"",\n  \""descripcion\"": \""";;;;6579
CAN;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""X1\"",\n  \""fotos\"": [\""image1.png\""],\n  \""variantes\"": []\n}\n```""";;;;6579
FEI;"\""codigo\"": \""03483\"",\n \""descripcion\"": \""CORTA CADENILLA";;;;6647
CHI;"\""03483\"",\n \""descripcion\"": \""CORTA CADENILLA FEI";;;;6647
REPUESTO;"\""codigo\"": \""03920\"",\n \""descripcion\"": \""PUNTA DE";;;;6599
PARA;"\""03920\"",\n \""descripcion\"": \""PUNTA DE REPUESTO";;;;6599
CORTA;"\""descripcion\"": \""PUNTA DE REPUESTO PARA";;;;6643
GUIA;"{\n \""codigo\"": \""03695\"",\n \""descripcion\"": \""INSTALADOR";;;;6647
GALGAS;"\""03696\"",\n \""descripcion\"": \""JUEGO DE 17";;;;6647
PARA;DE 17 GALGAS DE PRECISION;;;;6647
CEPILLOS;"\""codigo\"": \""04217\"",\n \""descripcion\"": \""SET X3";;;;6647
FEI;"},\n {\n \""codigo\"": \""CORTA CADENILLA";;;;6643
CHI;"{\n \""codigo\"": \""CORTA CADENILLA FEI";;;;6643
FEI;"CHI REFORZADO\"",\n \""descripcion\"": \""CORTA CADENILLA";;;;6643
CHI;"REFORZADO\"",\n \""descripcion\"": \""CORTA CADENILLA FEI";;;;6643
REPUESTO;"},\n {\n \""codigo\"": \""PUNTA DE";;;;6643
PARA;"{\n \""codigo\"": \""PUNTA DE REPUESTO";;;;6643
CORTA;"\""codigo\"": \""PUNTA DE REPUESTO PARA";;;;6643
REPUESTO;"CORTA CADENILLA\"",\n \""descripcion\"": \""PUNTA DE";;;;6643
PARA;"CADENILLA\"",\n \""descripcion\"": \""PUNTA DE REPUESTO";;;;6643
GUIA;"[]\n },\n {\n \""codigo\"": \""INSTALADOR";;;;6643
GUIA;"\""INSTALADOR GUIA VALVULA\"",\n \""descripcion\"": \""INSTALADOR";;;;6643
GALGAS;"{\n \""codigo\"": \""JUEGO DE 17";;;;6643
GALGAS;"0.02-1.00mm\"",\n \""descripcion\"": \""JUEGO DE 17";;;;6643
REPUETO;"\""codigo\"": \""03920\"",\n \""descripcion\"": \""PUNTA DE";;;;6647
